Repositorio, T0, T1, T2, T3, T4, T5, T6, T7, T8, T9
nodejs/node, 0, 1, 1, 3, 3, 5, 8, 11, 14, 16
facebook/react-native, 1, 4, 6, 9, 13, 13, 11, 12, 13, 14
gatsbyjs/gatsby, 0, 2, 2, 1, 1, 1, 2, 5, 8, 9
request/request, 1, 1, 3, 3, 7, 4, 4, 7, 7, 7
emberjs/ember.js, 0, 3, 3, 4, 5, 6, 7, 7, 5, 7
angular/angular.js, 0, 1, 1, 1, 1, 1, 1, 1, 1, 5
adobe/brackets, 1, 1, 2, 3, 4, 5, 5, 5, 5, 6
yarnpkg/yarn, 1, 1, 1, 3, 4, 5, 5, 5, 5, 5
babel/babel, 1, 1, 1, 1, 2, 1, 1, 3, 3, 4
serverless/serverless, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4
elastic/elasticsearch, 0, 1, 1, 1, 1, 1, 3, 0, 12, 15
apache/hadoop, 1, 2, 1, 3, 3, 5, 7, 10, 13, 17
bazelbuild/bazel, 1, 3, 3, 5, 7, 10, 10, 13, 13, 13
apache/kafka, 1, 2, 2, 3, 3, 6, 8, 8, 11, 12
prestodb/presto, 0, 2, 2, 2, 3, 4, 5, 7, 8, 11
oracle/graal, 1, 2, 2, 2, 3, 3, 1, 4, 6, 7
jenkinsci/jenkins, 1, 1, 1, 1, 2, 3, 3, 4, 5, 5
apache/skywalking, 0, 2, 2, 1, 1, 1, 2, 2, 3, 4
spring-projects/spring-framework, 0, 2, 2, 2, 2, 2, 2, 3, 3, 4
seata/seata, 0, 1, 1, 2, 3, 3, 3, 3, 4, 4
pytorch/pytorch, 1, 1, 1, 2, 1, 1, 1, 2, 12, 20
mongodb/mongo, 1, 2, 2, 2, 3, 7, 11, 13, 17, 21
PaddlePaddle/Paddle, 1, 1, 3, 7, 10, 12, 14, 17, 20, 24
v8/v8, 0, 3, 5, 8, 9, 9, 12, 14, 16, 19
ApolloAuto/apollo, 1, 5, 7, 8, 8, 8, 8, 8, 8, 8
facebook/folly, 0, 2, 3, 3, 6, 9, 8, 8, 10, 12
microsoft/CNTK, 0, 1, 2, 5, 6, 7, 9, 10, 10, 10
ceph/ceph, 4, 5, 5, 5, 5, 5, 5, 5, 5, 9
apple/swift, 0, 1, 2, 4, 6, 4, 4, 5, 6, 6
grpc/grpc, 0, 3, 3, 3, 4, 4, 7, 8, 10, 10
odoo/odoo, 1, 2, 3, 10, 10, 13, 12, 18, 18, 20
apache/incubator-mxnet, 0, 2, 5, 7, 10, 11, 14, 16, 18, 22
python/cpython, 0, 1, 1, 1, 2, 3, 5, 8, 12, 14
spotify/luigi, 1, 1, 2, 3, 7, 10, 10, 10, 13, 13
scikit-learn/scikit-learn, 0, 2, 3, 5, 7, 7, 9, 10, 10, 13
ray-project/ray, 0, 2, 2, 2, 3, 4, 4, 5, 6, 10
saltstack/salt, 0, 1, 2, 5, 11, 12, 18, 9, 9, 10
django/django, 0, 1, 2, 4, 4, 5, 6, 8, 8, 9
getsentry/sentry, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4
RaRe-Technologies/gensim, 1, 1, 1, 1, 1, 1, 2, 4, 6, 8
fzaninotto/Faker, 1, 4, 3, 3, 5, 7, 9, 9, 13, 13
WordPress/WordPress, 0, 1, 2, 1, 2, 2, 4, 6, 9, 10
nextcloud/server, 0, 2, 3, 1, 1, 3, 4, 5, 6, 6
yiisoft/yii2, 1, 1, 1, 3, 3, 2, 3, 3, 5, 5
symfony/console, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4
doctrine/orm, 0, 2, 1, 2, 1, 3, 3, 4, 5, 5
owncloud/core, 0, 2, 3, 1, 1, 3, 4, 4, 5, 5
symfony/process, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3
symfony/symfony, 1, 2, 2, 2, 2, 2, 3, 4, 4, 3
matomo-org/matomo, 0, 1, 2, 2, 2, 3, 3, 2, 3, 3